Pais,Anho,Npatente,max,media,dif
DE,1986,4586771,1,1.0,0.0
DE,1986,4619016,1,1.0,0.0
DE,1986,4576419,1,1.0,0.0
DE,1986,4632546,1,1.0,0.0
DE,1986,4603566,1,1.0,0.0
DE,1986,4598715,1,1.0,0.0
DE,1986,4626781,1,1.0,0.0
DE,1986,4624165,1,1.0,0.0
DE,1986,4568616,1,1.0,0.0
DE,1987,4644056,1,1.0,0.0
DE,1987,4675544,1,1.0,0.0
DE,1987,4678643,1,1.0,0.0
DE,1987,4665074,1,1.0,0.0
DE,1987,4643144,1,1.0,0.0
DE,1987,4701221,1,1.0,0.0
DE,1987,4639346,1,1.0,0.0
DE,1987,4647326,1,1.0,0.0
DE,1987,4690896,1,1.0,0.0
DE,1987,4664394,1,1.0,0.0
DE,1987,4633796,1,1.0,0.0
DE,1987,4635114,1,1.0,0.0
DE,1987,4655439,1,1.0,0.0
DE,1987,4677558,1,1.0,0.0
DE,1987,4640124,1,1.0,0.0
DE,1988,4776237,1,1.0,0.0
DE,1988,4744509,1,1.0,0.0
DE,1988,4773211,1,1.0,0.0
DE,1988,4765057,1,1.0,0.0
DE,1988,4716834,1,1.0,0.0
DE,1988,4733604,1,1.0,0.0
DE,1988,4774263,1,1.0,0.0
DE,1988,4789053,1,1.0,0.0
DE,1988,4750520,1,1.0,0.0
DE,1988,4744351,1,1.0,0.0
DE,1988,4750460,1,1.0,0.0
DE,1988,4793808,1,1.0,0.0
DE,1988,4736487,1,1.0,0.0
DE,1988,4794629,1,1.0,0.0
DE,1988,4791579,1,1.0,0.0
DE,1988,4775033,1,1.0,0.0
DE,1988,4719297,1,1.0,0.0
DE,1988,4772743,1,1.0,0.0
DE,1989,4817631,1,1.0,0.0
DE,1989,4816224,1,1.0,0.0
DE,1989,4871187,1,1.0,0.0
DE,1989,4862368,1,1.0,0.0
DE,1989,4865229,1,1.0,0.0
DE,1989,4813955,1,1.0,0.0
DE,1989,4882457,1,1.0,0.0
DE,1989,4826562,1,1.0,0.0
DE,1989,4806412,1,1.0,0.0
DE,1989,4818777,1,1.0,0.0
DE,1989,4844442,1,1.0,0.0
DE,1989,4837321,1,1.0,0.0
DE,1989,4804542,1,1.0,0.0
DE,1989,4886718,1,1.0,0.0
DE,1989,4884652,1,1.0,0.0
DE,1989,4876600,1,1.0,0.0
DE,1989,4863070,1,1.0,0.0
DE,1989,4886251,1,1.0,0.0
DE,1989,4803840,1,1.0,0.0
DE,1989,4885874,1,1.0,0.0
DE,1989,4795355,1,1.0,0.0
DE,1990,4957754,1,1.0,0.0
DE,1990,4965555,1,1.0,0.0
DE,1990,4976138,1,1.0,0.0
DE,1990,4924021,1,1.0,0.0
DE,1990,4913850,1,1.0,0.0
DE,1990,4952875,1,1.0,0.0
DE,1990,4946674,1,1.0,0.0
DE,1990,4952614,1,1.0,0.0
DE,1990,4915247,1,1.0,0.0
DE,1990,4942816,1,1.0,0.0
DE,1991,5063634,1,1.0,0.0
DE,1991,4993873,1,1.0,0.0
DE,1991,5073237,1,1.0,0.0
DE,1991,5033441,1,1.0,0.0
DE,1991,5051115,1,1.0,0.0
DE,1991,5070096,1,1.0,0.0
DE,1991,4982014,1,1.0,0.0
DE,1991,5036891,1,1.0,0.0
DE,1991,5065762,1,1.0,0.0
DE,1991,5058122,1,1.0,0.0
DE,1991,5071777,1,1.0,0.0
DE,1991,5048863,1,1.0,0.0
DE,1992,5091924,1,1.0,0.0
DE,1992,5163487,1,1.0,0.0
DE,1992,5109265,1,1.0,0.0
DE,1992,5171047,1,1.0,0.0
DE,1992,5117706,1,1.0,0.0
DE,1992,5120337,1,1.0,0.0
DE,1992,5096310,1,1.0,0.0
DE,1992,5079503,1,1.0,0.0
DE,1992,5108399,1,1.0,0.0
DE,1992,5158037,1,1.0,0.0
DE,1992,5153321,1,1.0,0.0
DE,1992,5090519,1,1.0,0.0
DE,1993,5184326,2,1.1,0.8999999999999999
DE,1994,5311633,1,1.0,0.0
DE,1994,5307114,1,1.0,0.0
DE,1994,5359933,1,1.0,0.0
DE,1994,5338763,1,1.0,0.0
DE,1994,5329619,1,1.0,0.0
DE,1994,5334034,1,1.0,0.0
DE,1994,5361699,1,1.0,0.0
DE,1994,5321586,1,1.0,0.0
DE,1995,5405088,1,1.0,0.0
DE,1995,5419479,1,1.0,0.0
DE,1995,5399389,1,1.0,0.0
DE,1995,5420308,1,1.0,0.0
DE,1995,5401328,1,1.0,0.0
DE,1995,5435754,1,1.0,0.0
DE,1995,5462344,1,1.0,0.0
DE,1995,5478159,1,1.0,0.0
DE,1995,5478222,1,1.0,0.0
DE,1995,5415224,1,1.0,0.0
DE,1996,5496127,1,1.0,0.0
DE,1996,5479859,1,1.0,0.0
DE,1996,5573639,1,1.0,0.0
DE,1996,5496002,1,1.0,0.0
